image_filename,brand_name,class_type,abv,net_contents,producer_name,producer_address,imported_product,country_origin
T01_harbor_ridge_distilling.png,HARBOR RIDGE DISTILLING,STRAIGHT BOURBON WHISKEY,45,750 ML,HARBOR RIDGE DISTILLING CO.,"NEWPORT, RI",false,
T02_maple_stone_brewing.png,MAPLE & STONE BREWING,INDIA PALE ALE,6.5,473 ML,MAPLE & STONE BREWING,"BURLINGTON, VT",false,
T03_northstar_cellars.png,NORTHSTAR CELLARS,AMERICAN RED WINE,13.5,750 ML,NORTHSTAR CELLARS,"GENEVA, NY",false,
T04_sol_dorado_imports.png,SOL DORADO IMPORTS,TEQUILA BLANCO,40,750 ML,SOL DORADO IMPORTS,"MIAMI, FL",true,MEXICO
T05_fjord_house.png,FJORD HOUSE,AQUAVIT,42,700 ML,FJORD HOUSE IMPORTS,"BOSTON, MA",true,NORWAY
T06_cask_clover.png,CASK & CLOVER,IRISH WHISKEY,40,750 ML,CASK & CLOVER IMPORTS,"PROVIDENCE, RI",true,IRELAND
T07_juniper_works.png,JUNIPER WORKS,LONDON DRY GIN,47,1 L,JUNIPER WORKS DISTILLERY,"PORTLAND, ME",false,
T08_copper_finch.png,COPPER FINCH,VODKA,40,375 ML,COPPER FINCH DISTILLING,"AUSTIN, TX",false,
T09_orchard_line.png,ORCHARD LINE,HARD CIDER,5.5,355 ML,ORCHARD LINE CIDERY,"ASHEVILLE, NC",false,
T10_mesa_roja.png,MESA ROJA,AMERICAN RED WINE,14.2,750 ML,MESA ROJA CELLARS,"SANTA FE, NM",false,
T11_hightide_brewing_co.png,HIGHTIDE BREWING CO.,LAGER,4.8,473 ML,HIGHTIDE BREWING CO.,"PORTSMOUTH, NH",false,
T12_ember_grain.png,EMBER & GRAIN,STRAIGHT RYE WHISKEY,50,750 ML,EMBER & GRAIN DISTILLERY,"LOUISVILLE, KY",false,
T13_alpine_echo.png,ALPINE ECHO,SAUVIGNON BLANC,12.8,750 ML,ALPINE ECHO WINERY,"WALLA WALLA, WA",false,
T14_blackbird_rum_co.png,BLACKBIRD RUM CO.,DARK RUM,43,1 L,BLACKBIRD RUM CO.,"TAMPA, FL",false,
T15_golden_orchard.png,GOLDEN ORCHARD,APPLE BRANDY,40,750 ML,GOLDEN ORCHARD DISTILLERY,"HUDSON, NY",false,
T16_blue_lantern_imports.png,BLUE LANTERN IMPORTS,PLUM WINE,12,720 ML,BLUE LANTERN IMPORTS,"SEATTLE, WA",true,JAPAN
T17_ironwood_brewery.png,IRONWOOD BREWERY,STOUT,7.2,1 PINT,IRONWOOD BREWERY,"DENVER, CO",false,
T18_silver_thread_cellars.png,SILVER THREAD CELLARS,ROSÉ WINE,12.5,750 ML,SILVER THREAD CELLARS,"SONOMA, CA",false,
T19_meridian_spirits.png,MERIDIAN SPIRITS,COCONUT RUM LIQUEUR,21,200 ML,MERIDIAN SPIRITS IMPORTS,"BOSTON, MA",true,CANADA
T20_old_mill_distillery.png,OLD MILL DISTILLERY,STRAIGHT RYE WHISKY,45,750 ML,OLD MILL DISTILLERY,"FREDERICK, MD",false,
